date,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
2020-02-28,7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
2020-02-29,7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
2020-03-01,7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
2020-03-02,7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
2020-03-03,7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
2020-03-04,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
2020-03-05,7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
2020-03-06,6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
2020-03-07,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
2020-03-08,6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
2020-03-09,6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
2020-03-10,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
2020-03-11,6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
2020-03-12,6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
2020-03-13,6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
2020-03-14,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
2020-03-15,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
2020-03-16,6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
2020-03-17,6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
2020-03-18,6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
2020-03-19,6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
2020-03-20,6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
2020-03-21,6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
2020-03-22,6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
2020-03-23,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
2020-03-24,6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
2020-03-25,6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
2020-03-26,6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
2020-03-27,6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
2020-03-28,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
2020-03-29,6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
2020-03-30,6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished
2020-03-31,6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
2020-04-01,6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
2020-04-02,6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
2020-04-03,6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
2020-04-04,6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
2020-04-05,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
2020-04-06,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
2020-04-07,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
2020-04-08,6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
2020-04-09,6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
2020-04-10,6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
2020-04-11,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
2020-04-12,6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
2020-04-13,6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
2020-04-14,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
2020-04-15,6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
2020-04-16,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
2020-04-17,6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
2020-04-18,6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
2020-04-19,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
2020-04-20,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
2020-04-21,6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
2020-04-22,6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
2020-04-23,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
2020-04-24,6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
2020-04-25,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
2020-04-26,6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
2020-04-27,5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
2020-04-28,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
2020-04-29,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
2020-04-30,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
2020-05-01,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
2020-05-02,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
2020-05-03,5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
2020-05-04,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
2020-05-05,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
2020-05-06,5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
2020-05-07,5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
2020-05-08,5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
2020-05-09,5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
2020-05-10,5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
2020-05-11,5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
2020-05-12,5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
2020-05-13,5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
2020-05-14,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
2020-05-15,5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
2020-05-16,5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
2020-05-17,5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
2020-05-18,5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
2020-05-19,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
2020-05-20,5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
2020-05-21,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
2020-05-22,5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
2020-05-23,5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
2020-05-24,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
2020-05-25,5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
2020-05-26,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
2020-05-27,5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
2020-05-28,5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
2020-05-29,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
2020-05-30,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
2020-05-31,5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
2020-06-01,5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
2020-06-02,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
2020-06-03,5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
2020-06-04,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
2020-06-05,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
2020-06-06,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
2020-06-07,5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
2020-06-08,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
2020-06-09,5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
2020-06-10,5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
2020-06-11,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
2020-06-12,5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
2020-06-13,5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
2020-06-14,5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
2020-06-15,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
2020-06-16,5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
2020-06-17,5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
2020-06-18,5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
2020-06-19,5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
2020-06-20,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
2020-06-21,5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
2020-06-22,5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
2020-06-23,5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
2020-06-24,5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
2020-06-25,5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
2020-06-26,5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
2020-06-27,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
2020-06-28,5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
2020-06-29,5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
2020-06-30,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
2020-07-01,5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
2020-07-02,5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
2020-07-03,5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
2020-07-04,5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
2020-07-05,5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
2020-07-06,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
2020-07-07,5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
2020-07-08,5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
2020-07-09,5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
2020-07-10,5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
2020-07-11,5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
2020-07-12,5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
2020-07-13,5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
2020-07-14,4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
2020-07-15,4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
2020-07-16,4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
2020-07-17,4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
2020-07-18,4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished
2020-07-19,4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
2020-07-20,4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
2020-07-21,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
2020-07-22,4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
2020-07-23,4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
2020-07-24,4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
2020-07-25,4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
2020-07-26,4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
2020-07-27,4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
2020-07-28,4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
2020-07-29,4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
2020-07-30,4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished
2020-07-31,4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
2020-08-01,4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
2020-08-02,4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
2020-08-03,4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
2020-08-04,4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
2020-08-05,4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
2020-08-06,4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
2020-08-07,4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
2020-08-08,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
2020-08-09,4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
2020-08-10,4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
2020-08-11,4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
2020-08-12,4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
2020-08-13,4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
2020-08-14,4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
2020-08-15,4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
2020-08-16,4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
2020-08-17,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
2020-08-18,4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
2020-08-19,4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
2020-08-20,4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
2020-08-21,4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
2020-08-22,4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
2020-08-23,4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
2020-08-24,4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
2020-08-25,4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
2020-08-26,4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
2020-08-27,4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished
2020-08-28,4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
2020-08-29,4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
2020-08-30,4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
2020-08-31,4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
2020-09-01,4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
2020-09-02,4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
2020-09-03,4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
2020-09-04,4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
2020-09-05,4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
2020-09-06,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
2020-09-07,4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
2020-09-08,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
2020-09-09,4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
2020-09-10,4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
2020-09-11,4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
2020-09-12,4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
2020-09-13,4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished
2020-09-14,4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished
2020-09-15,4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
2020-09-16,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
2020-09-17,4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
2020-09-18,4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2020-09-19,4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
2020-09-20,4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
2020-09-21,4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
2020-09-22,4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
2020-09-23,4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
2020-09-24,4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
2020-09-25,4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
2020-09-26,4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
2020-09-27,4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
2020-09-28,4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
2020-09-29,4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
2020-09-30,4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
2020-10-01,4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
2020-10-02,4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
2020-10-03,4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
2020-10-04,4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
2020-10-05,4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
2020-10-06,4270000,6360,2,1,1,yes,no,no,no,no,0,no,furnished
2020-10-07,4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
2020-10-08,4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
2020-10-09,4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
2020-10-10,4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
2020-10-11,4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
2020-10-12,4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
2020-10-13,4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
2020-10-14,4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
2020-10-15,4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
2020-10-16,4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
2020-10-17,4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
2020-10-18,4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
2020-10-19,4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
2020-10-20,4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
2020-10-21,4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
2020-10-22,4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
2020-10-23,4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
2020-10-24,4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
2020-10-25,4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
2020-10-26,4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished
2020-10-27,4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
2020-10-28,4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
2020-10-29,4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
2020-10-30,4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
2020-10-31,4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
2020-11-01,4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
2020-11-02,4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
2020-11-03,4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
2020-11-04,4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
2020-11-05,4130000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
2020-11-06,4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
2020-11-07,4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
2020-11-08,4098500,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
2020-11-09,4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
2020-11-10,4095000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
2020-11-11,4095000,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
2020-11-12,4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
2020-11-13,4060000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
2020-11-14,4060000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
2020-11-15,4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
2020-11-16,4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
2020-11-17,4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
2020-11-18,4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
2020-11-19,4025000,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
2020-11-20,4007500,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
2020-11-21,4007500,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
2020-11-22,3990000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
